THR,Frames,FPR,TPR,TTD
1,190,0.06666666666666667,0.0,0
2,189,0.0,0.0,0
3,188,0.0,0.0,0
4,187,0.0,0.0,0
5,186,0.0,0.0,0
6,185,0.0,0.0,0
7,184,0.0,0.0,0
8,183,0.0,0.0,0
9,182,0.0,0.0,0
10,181,0.0,0.0,0
11,180,0.0,0.0,0
12,179,0.0,0.0,0
13,178,0.0,0.0,0
14,177,0.0,0.0,0
15,176,0.0,0.0,0
16,175,0.0,0.0,0
17,174,0.0,0.0,0
18,173,0.0,0.0,0
19,172,0.0,0.0,0
20,171,0.0,0.0,0
21,170,0.0,0.0,0
22,169,0.0,0.0,0
23,168,0.0,0.0,0
24,167,0.0,0.0,0
25,166,0.0,0.0,0
26,165,0.0,0.0,0
27,164,0.0,0.0,0
28,163,0.0,0.0,0
29,162,0.0,0.0,0
30,161,0.0,0.0,0
