THR,Frames,FPR,TPR,TTD
1,333,0.03333333333333333,0.0,0
2,332,0.0,0.0,0
3,331,0.0,0.0,0
4,330,0.0,0.0,0
5,329,0.0,0.0,0
6,328,0.0,0.0,0
7,327,0.0,0.0,0
8,326,0.0,0.0,0
9,325,0.0,0.0,0
10,324,0.0,0.0,0
11,323,0.0,0.0,0
12,322,0.0,0.0,0
13,321,0.0,0.0,0
14,320,0.0,0.0,0
15,319,0.0,0.0,0
16,318,0.0,0.0,0
17,317,0.0,0.0,0
18,316,0.0,0.0,0
19,315,0.0,0.0,0
20,314,0.0,0.0,0
21,313,0.0,0.0,0
22,312,0.0,0.0,0
23,311,0.0,0.0,0
24,310,0.0,0.0,0
25,309,0.0,0.0,0
26,308,0.0,0.0,0
27,307,0.0,0.0,0
28,306,0.0,0.0,0
29,305,0.0,0.0,0
30,304,0.0,0.0,0
