THR,Frames,FPR,TPR,TTD
1,330,0.0,0.004901960784313725,7
2,329,0.0,0.0,0
3,328,0.0,0.0,0
4,327,0.0,0.0,0
5,326,0.0,0.0,0
6,325,0.0,0.0,0
7,324,0.0,0.0,0
8,323,0.0,0.0,0
9,322,0.0,0.0,0
10,321,0.0,0.0,0
11,320,0.0,0.0,0
12,319,0.0,0.0,0
13,318,0.0,0.0,0
14,317,0.0,0.0,0
15,316,0.0,0.0,0
16,315,0.0,0.0,0
17,314,0.0,0.0,0
18,313,0.0,0.0,0
19,312,0.0,0.0,0
20,311,0.0,0.0,0
21,310,0.0,0.0,0
22,309,0.0,0.0,0
23,308,0.0,0.0,0
24,307,0.0,0.0,0
25,306,0.0,0.0,0
26,305,0.0,0.0,0
27,304,0.0,0.0,0
28,303,0.0,0.0,0
29,302,0.0,0.0,0
30,301,0.0,0.0,0
